,tree_id,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,steward,guards,sidewalk,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other
19305,197949,3,0,OnCurb,Alive,Good,Koelreuteria paniculata,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
408762,619304,5,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,NoDamage,Stones,Yes,No,No,No,No,No,No,No,No
643830,133327,3,0,OnCurb,Alive,Good,Styphnolobium japonicum,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
593642,73391,15,0,OnCurb,Alive,Fair,Pyrus calleryana,1or2,Harmful,NoDamage,BranchLights,No,No,No,No,No,No,Yes,No,No
600223,89906,12,0,OnCurb,Alive,Good,Ginkgo biloba,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
370364,566079,5,0,OnCurb,Alive,Good,Liquidambar styraciflua,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
430420,629328,4,0,OnCurb,Alive,Good,Pyrus calleryana,1or2,None,NoDamage,Stones,Yes,No,No,No,No,No,No,No,No
187739,398566,6,0,OnCurb,Alive,Good,Prunus cerasifera,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
93612,288900,11,0,OnCurb,Alive,Poor,Acer platanoides,None,None,Damage,None,No,No,No,No,No,No,No,No,No
259193,467706,15,0,OnCurb,Alive,Good,Tilia cordata,None,None,NoDamage,Stones,Yes,No,No,No,No,No,No,No,No
229576,435719,24,0,OnCurb,Alive,Good,Liquidambar styraciflua,None,None,Damage,None,No,No,No,No,No,No,No,No,No
347879,561280,17,0,OnCurb,Alive,Good,Acer platanoides,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
223790,406954,15,0,OffsetFromCurb,Alive,Good,Liquidambar styraciflua,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
390727,599207,0,23,OnCurb,Stump,Good,No Observation,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
496128,701039,28,0,OnCurb,Alive,Good,Acer saccharinum,None,None,NoDamage,BranchLights,No,No,No,No,No,No,Yes,No,No
500283,703989,8,0,OnCurb,Alive,Good,Tilia cordata,None,None,Damage,None,No,No,No,No,No,No,No,No,No
64285,261878,3,0,OnCurb,Alive,Poor,Tilia americana,1or2,None,Damage,None,No,No,No,No,No,No,No,No,No
34773,211494,3,0,OnCurb,Dead,Good,No Observation,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
334205,557936,18,0,OnCurb,Alive,Good,Quercus palustris,None,None,Damage,None,No,No,No,No,No,No,No,No,No
212542,409929,6,0,OnCurb,Alive,Good,Prunus,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
537880,38689,5,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,1or2,None,Damage,None,No,No,No,No,No,No,No,No,No
103019,289615,16,0,OnCurb,Alive,Fair,Quercus palustris,None,None,Damage,"Stones,RootOther,BranchLights",Yes,No,Yes,No,No,No,Yes,No,No
135323,348810,4,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,None,Helpful,NoDamage,None,No,No,No,No,No,No,No,No,No
34795,214916,12,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,None,None,Damage,None,No,No,No,No,No,No,No,No,No
291805,411195,6,0,OnCurb,Alive,Good,Acer platanoides,3or4,None,NoDamage,None,No,No,No,No,No,No,No,No,No
591401,86677,12,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
304150,503875,7,0,OnCurb,Alive,Fair,Pyrus calleryana,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
551701,40822,5,0,OnCurb,Alive,Poor,Pyrus calleryana,3or4,Helpful,NoDamage,None,No,No,No,No,No,No,No,No,No
281488,442744,18,0,OnCurb,Alive,Good,Acer saccharinum,None,None,Damage,None,No,No,No,No,No,No,No,No,No
616129,73154,8,0,OnCurb,Alive,Good,Quercus palustris,3or4,Helpful,NoDamage,None,No,No,No,No,No,No,No,No,No
363889,588530,4,0,OnCurb,Alive,Good,Acer campestre,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
175117,360333,12,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,NoDamage,BranchLights,No,No,No,No,No,No,Yes,No,No
176497,322189,3,0,OnCurb,Alive,Good,Cercis canadensis,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
215109,430839,14,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
514828,722525,18,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,NoDamage,BranchLights,No,No,No,No,No,No,Yes,No,No
455315,679304,7,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
542304,36216,5,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
425777,654062,9,0,OnCurb,Alive,Good,Acer rubrum,1or2,None,Damage,None,No,No,No,No,No,No,No,No,No
295391,495246,5,0,OnCurb,Alive,Good,Ulmus parvifolia,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
610511,90148,6,0,OnCurb,Alive,Good,Zelkova serrata,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
29550,220253,7,0,OnCurb,Alive,Good,Pyrus calleryana,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
533865,36089,13,0,OnCurb,Alive,Fair,Platanus x acerifolia,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
655158,14646,3,0,OnCurb,Alive,Good,Magnolia,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
259431,468432,5,0,OnCurb,Alive,Fair,Tilia cordata,None,None,NoDamage,"RootOther,BranchOther",No,No,Yes,No,No,No,No,No,Yes
231391,435465,11,0,OnCurb,Alive,Good,Robinia pseudoacacia,None,None,Damage,"Stones,TrunkOther",Yes,No,No,No,No,Yes,No,No,No
619456,124795,2,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
84244,299661,10,0,OnCurb,Alive,Good,Acer platanoides 'Crimson King',None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
