Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2019-09-10,2019,9,10,Tuesday,36,2019-36,297.36,298.2,295.97,298.13,57947100,283.97,-0.00023476332311400672,278.6342857142857,280.5168
2019-09-11,2019,9,11,Wednesday,36,2019-36,298.47,300.34,297.75,300.25,68821100,285.99,0.007110968966243192,279.165,280.6042
2019-09-12,2019,9,12,Thursday,36,2019-36,301.25,302.46,300.41,301.29,72908700,286.98,0.003463899985796992,279.77285714285716,280.6968
2019-09-13,2019,9,13,Friday,36,2019-36,301.78,302.17,300.68,301.09,62104800,286.79,-0.0006639946659237062,280.8778571428571,280.7404
2019-09-16,2019,9,16,Monday,37,2019-37,299.84,301.14,299.45,300.16,58191200,285.9,-0.0030887115499254048,281.70500000000004,280.77279999999996
2019-09-17,2019,9,17,Tuesday,37,2019-37,299.94,301.02,299.75,300.92,41475500,286.63,0.0025322306215989077,282.6614285714286,280.851
2019-09-18,2019,9,18,Wednesday,37,2019-37,300.49,301.22,298.24,301.1,73375800,286.8,0.0005978401308412984,283.4921428571428,280.92560000000003
2019-09-19,2019,9,19,Thursday,37,2019-37,301.53,302.63,300.71,301.08,76560500,286.78,-6.629240718902807e-05,284.0707142857143,280.9726
2019-09-20,2019,9,20,Friday,37,2019-37,300.36,300.67,297.41,298.28,89565000,285.42,-0.004724844327553046,284.5607142857143,280.9792
2019-09-23,2019,9,23,Monday,38,2019-38,297.55,299.0,297.27,298.21,43476800,285.36,-0.00023490454931096583,285.16285714285715,280.959
2019-09-24,2019,9,24,Tuesday,38,2019-38,299.41,299.84,294.81,295.87,94869400,283.12,-0.007846714274622468,285.3807142857143,280.8922
2019-09-25,2019,9,25,Wednesday,38,2019-38,295.96,298.11,294.33,297.62,71854000,284.79,0.005914844477845405,285.4607142857143,280.8772
2019-09-26,2019,9,26,Thursday,38,2019-38,297.63,297.86,295.45,297.0,56179700,284.2,-0.002083252965053739,285.48285714285714,280.8892
2019-09-27,2019,9,27,Friday,38,2019-38,297.83,297.95,293.69,295.4,84746600,282.67,-0.005387217896958729,285.3857142857143,280.85
2019-09-30,2019,9,30,Monday,39,2019-39,295.97,297.55,295.92,296.77,51662400,283.98,0.0046375519167216606,285.3864285714286,280.8686
2019-10-01,2019,10,1,Tuesday,39,2019-39,297.74,298.46,293.0,293.24,88242400,280.6,-0.011894403079507176,285.00142857142856,280.8056
2019-10-02,2019,10,2,Wednesday,39,2019-39,291.5,291.51,286.64,288.06,122539500,275.64,-0.017664627122811916,284.19142857142856,280.6028
2019-10-03,2019,10,3,Thursday,39,2019-39,287.81,290.45,284.82,290.42,85278800,277.9,0.008192614003858623,283.55642857142857,280.4184
2019-10-04,2019,10,4,Friday,39,2019-39,291.14,294.63,291.08,294.35,65091200,281.66,0.013532199756651542,283.25357142857143,280.3366
2019-10-07,2019,10,7,Monday,40,2019-40,293.47,295.26,292.77,293.08,59610500,280.45,-0.004314856219854835,282.8121428571429,280.1924
2019-10-08,2019,10,8,Tuesday,40,2019-40,291.04,291.85,288.49,288.53,95708100,276.09,-0.01552447287632519,282.04714285714283,279.9714
2019-10-09,2019,10,9,Wednesday,40,2019-40,290.75,292.3,290.06,291.27,62359400,278.71,0.00949627717151924,281.4707142857143,279.81699999999995
2019-10-10,2019,10,10,Thursday,40,2019-40,291.18,294.21,291.0,293.24,55296300,280.6,0.0067635453762275866,281.1264285714286,279.763
2019-10-11,2019,10,11,Friday,40,2019-40,296.27,298.74,296.14,296.28,98720400,283.51,0.010366838385100552,280.9942857142857,279.8166
2019-10-14,2019,10,14,Monday,41,2019-41,295.93,296.67,295.57,295.95,40394800,283.19,-0.0011136678563659075,280.99928571428575,279.906
2019-10-15,2019,10,15,Tuesday,41,2019-41,297.1,299.7,296.97,298.88,46754500,286.0,0.009900344591735166,281.0857142857143,280.2192
2019-10-16,2019,10,16,Wednesday,41,2019-41,298.37,299.16,297.92,298.4,48928200,285.54,-0.0016061378967340278,281.18142857142857,280.44739999999996
2019-10-17,2019,10,17,Thursday,41,2019-41,299.68,300.24,298.52,299.28,45736600,286.38,0.0029492875378467343,281.44642857142856,280.6892
2019-10-18,2019,10,18,Friday,41,2019-41,298.69,299.4,297.03,297.97,64304000,285.13,-0.004377408064626831,281.5285714285714,280.7984
2019-10-21,2019,10,21,Monday,42,2019-42,299.42,300.21,298.94,299.99,39048600,287.06,0.006779289852289594,281.99,280.9842
2019-10-22,2019,10,22,Tuesday,42,2019-42,300.58,300.9,298.91,299.01,48594700,286.12,-0.003266728348383263,282.73857142857145,281.2188
2019-10-23,2019,10,23,Wednesday,42,2019-42,298.73,299.94,298.5,299.88,34352200,286.95,0.002909672688487408,283.385,281.38480000000004
2019-10-24,2019,10,24,Thursday,42,2019-42,300.91,301.07,299.46,300.37,35453100,287.42,0.0016337504207475373,283.7964285714285,281.725
2019-10-25,2019,10,25,Friday,42,2019-42,299.74,302.2,299.68,301.6,45205400,288.6,0.0040949147013988885,284.37857142857143,282.07439999999997
2019-10-28,2019,10,28,Monday,43,2019-43,302.94,303.85,302.91,303.3,42147000,290.23,0.005636770191799867,285.3885714285714,282.37640000000005
2019-10-29,2019,10,29,Tuesday,43,2019-43,303.0,304.23,302.86,303.21,44284900,290.14,-0.0002969462068908024,286.20500000000004,282.6104
2019-10-30,2019,10,30,Wednesday,43,2019-43,303.43,304.55,301.99,304.14,49643900,291.03,0.003067322049671972,286.95,282.9048
2019-10-31,2019,10,31,Thursday,43,2019-43,304.13,304.13,301.73,303.33,69053800,290.26,-0.0026632473749742536,287.4321428571429,283.13879999999995
2019-11-01,2019,11,1,Friday,43,2019-43,304.92,306.19,304.74,306.14,71141500,292.94,0.009264037312271656,288.12857142857143,283.4282
2019-11-04,2019,11,4,Monday,44,2019-44,307.85,308.0,306.96,307.37,60606900,294.12,0.004017421884823458,288.7085714285714,283.8842
